id,author,title,venue,address,publisher,editor,date,volume,pages
229,fahlman s. e.,"an empirical study of learning speed in backpropagation networks,",,"computer science dept., pittsburgh, pa.",,,,,
230,"fahlman, s. e.",an empirical study of learning speed in backpropagation networks.,,"department of computer science, carnegie-mellon university, pittsburg, pa.",,,,,
231,"fahlman, s. e.","an empirical study of learning speed in back-propagation networks,",,carnegie mel-lon university.,,,,,
232,"fahlman, s. e.",an empirical study of learning speed in back-propagation networks.,,"school of computer science, carnegie mellon university, pittsburgh, pa.",,,,,
233,"fahlman, s. e.",an empirical study of learning speed in backpropagation networks.,,"computer science department, carnegie mellon university, pittsburgh, pa.",,,,,
234,"fahlman, s. e.",an empirical study of learning speed in backpropagation networks.,,"school of computer science, carnegie mellon university, pittsburgh, pa 15213.",,,,,
235,"fahlman, s. e.",an empirical study of learning speed in backpropagation networks.,,"school of computer science, carnegie mellon university, pittsburgh, pa.",,,,,
236,"fahlman, s.e.","(1988) an empirical study of learning speed in backpropagation networks (cmu-cs-88-162),",,"department of computer science, carnegie mellon university, pittsburgh, pa.",,,,,
237,"fahlman, s.e.","an empirical study of learning speed in back-propagation networks,",,"school of computer science, carnegie mellon university.",,,,,
238,"fahlman, scott.",an empirical study of learning speed in back-propagation networks.,,"department of computer science, carnegie mellon university.",,,,,
239,s. e. fahlman.,an empirical study of learning speed in back-propagation networks.,,"computer science department - carnegie-mellon, pittsburgh, pa - usa,",,,,,
240,"fahlman, s.e.",an empirical study of learning speed in back-propagation networks.,in proceedings of the 1988 connectionist models summer school.,,morgan-kaufmann.,,,,
241,scott e. fahlman.,an empirical strudy of learning speed in back-propagation networks.,,"cmu department of computer science,",,,,,
242,s. fahlman.,an empirical study of learning speed in back-propagation networks.,,"carnegie mellon university,",,,,,
243,"s. e. fahlman,","""an empirical study of learning speed in backpropagation networks,""",,"school of computer science, carnegie mellon university, pitts-burgh, pa,",,,,,
244,"s. e. fahlman,","""an empirical study of learning speed in back-propagation networks,""",,"cmu-cs-88-162, computer science department, carnegie mellon university, pitts-burgh,",,,,,
245,s.e. fahlman.,an empirical study of learning speed in back-propagation networks.,,"carnegie mellon university,",,,,,
246,"s. e. fahlman,","""an empirical study of learning speed in backpropagation networks,""",,"school of computer science, carnegie mellon university, pittsburgh, usa",,,,,
247,"s. e. fahlman,","an empirical study of learning speed in back-propagation networks,",,"cmu-cs-tr-88-162, carnegie mellon university,",,,,,
248,scott e. fahlman.,an empirical study of learning speed in back-propagation networks.,,"school of computer science, carnegie mellon university, pittsburgh, pa 15213,",,,,,
249,"fahlman, s.:","an empirical study of learning speed in back-propagation networks,",,"carnegie mellon university, pittsburgh, pa,",,,,,
250,s. e. fahlman.,an empirical study of learning speed in back propagation networks.,,,,,,,
251,s.e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,,,,,
252,"fahlman, s.e.","an empirical study of learning speed in backpropagation networks,",,"carnegie mellon university, pittsburgh, pa,",,,,,
253,"s. fahlman,","""an empirical study of learning speed in back-propagation networks,""",,,,,,,
254,"s. e. fahlman,","""an empirical study of learning speed in back-propagation networks"",",,carnegie-mellon computer science rpt.,,,,,
255,"fahlman, s.e.,","""an empirical study of learning speed in back-propagation networks"",",,"carnegie-mellon university, pittsburgh, pa,",,,,,
256,s. e. fahlman.,an empirical study of learning speed in backpropagation networks.,,"carnegie-mellon university, pittsburgh, pa,",,,,,
257,"s. e. fahlman,","of learning speed in back-propagation networks,",,,,,,,
258,"fahlman, scott e.","""an empirical study of learning speed in back-propagation networks.""",,"computer science department, carnegie mellon university, pittsburgh, pa.",,,,,
259,"fahlman, scott e.,","""an empirical study of learnin g speed in backpropagation networks"",technical report cmu-cs-88-162,",,"carnegie mellon university, computer science department pittsburgh, pa,",,,,,
260,"scott fahlman,","""an empirical study of learning speed in backpropagation networks,""",,"department of computer science, carnegie mellon university,",,,,,
261,"hoehfeld, m. and fahlman, s. e.",learning with limited numerical precision using the cascade-correlation algorithm.,,"school of computer science, carnegie-mellon university, pittsburgh, pa,",,,,,
262,m. h. hoehfeld and s. fahlman.,learning with limited numerical precision using the cascade-correlation algorithm.,"ieee transactions on neural networks,",,,,,"vol. 3, no. 4,",
263,koen langendoen and pieter hartel. fcg:,a code generator for lazy functional languages.,"proceedings of the conference on compiler construction,","paderborn, germany,",springer-verlag.,"in p. pfahler u. kastens, editor,",,,"pages 278-296,"
264,"k.g. langendoen and p.h. hartel, fcg:","a code generator for lazy functional languages, in compiler construction (cc),","proceedings of the international workshop on compiler construction,","paderborn, germany,",,"springer verlag lncs 641, u. kastens and p. pfahler (eds),",,,"pp 278-296,"
265,"datta, p. & kibler, d.","learning prototypical concept descriptions,",in proceedings of the twelfth international conference on machine learning.,"los altos, california.","morgan kaufmann,",,(1995).,,
266,"datta, p. and kibler, d.",learning prototypical concept descriptions.,in proceedings of the twelfth international conference on machine 15 learning.,"tahoe city, ca.",morgan kaufmann.,,(1995).,,
267,"datta, p. and kibler, d.",learning prototypical concept descriptions.,in proceedings of the twelfth international conference on machine learning.,"tahoe city, ca.",morgan kaufmann.,,(1995).,,
268,"datta, p., & kibler, d.",learning prototypical concept descriptions.,proc. twelfth international conference on machine learning,"tahoe city, ca:",morgan kaufmann.,,(1995).,,(pp. 158-166).
269,"datta, p., and kibler, d.",learning prototypical concept descriptions.,"in proceedings of the twelfth international conference on machine learning,","tahoe city, ca:",morgan kaufmann.,,1995.,,158-166.
270,p. datta and d. kibler.,learning prototypical concept descriptions.,"in proceedings of the twelfth international conference on machine learning,","tahoe city, ca,",morgan kaufmann.,,1995.,16,"pages 158-166,"
271,"hu, y. & kibler, d.","""generation of attributes for learning algorithms"",","in proceeding of the 13th national conference on artificial intelligence,",,,,1996.,14,"p806--811,"
272,"hu, y., and kibler, d.,","""generation of attributes for learning algorithms"",","proceedings of the thirteenth national conference on artificial intelligence (aaai96),","portland, or,",,,1996.,,"p . 806-811,"
273,utgoff p.e.,"""id5: an incremental id3"",","in proc. of 5th international workshop on machine learning , j.","ann harbour,",morgan kaufmann inc.,"laird (ed.),",(1988):,,
274,"utgoff, p.",id5r: an incremental id3.,proceedings of the fifth international conference on machine learning,"ann arbor, michigan:",morgan kaufmann.,,(1988).,27,(pp. 107 - 120).
275,"utgoff, p.",id5r: an incremental id3.,proceedings of the fifth international conference on machine learning,"ann arbor, michigan:",morgan kaufmann.,,(1988).,28,
276,"utgoff, p.",id5: an incremental id3.,in proceedings of the fifth international conference on machine learning.,,,,1988.,,107-120.
277,"utgoff, p. e.",an incremental id3.,in proceedings of the fifth national conference on machine learning.,,,,(1988).,,
278,"utgoff, p. e.",id5: an incremental id3.,in proceedings of the fifth international conference on machine learning,"ann arbor, mi:",morgan kaufmann.,,(1988a).,,(pp. 107-120).
279,p. utgoff. id5:,an incremental id3.,"in proceedings of the fifth international conference on machine learning,",,,,1988.,,"pages 107-120,"
280,p. utgoff. id5:,an incremental id3.,"in proc. 5th intl. conf. mach. learning,",,"morgan kaufmann,",,1988.,,pages 107-120.
281,"utgoff, p. e.",id5: an incremental id3.,"in proc. 5th int. conf. on machine learning ca,",,"kaufmann,","j. laird, ed.,",(1988).,,pp. 107-120.
282,p. e. utgoff. id5:,an incremental id3.,"proc. 5th int. conf. on machine learning,","ca,","kaufmann,","in j. laird, editor,",june 1988.,,"pages 107-120,"
283,paul e. utgoff. id5:,an incremental id3.,"proceedings of the fifth international conference on machine learning,","san mateo, ca,",morgan kaufman.,"in john e. laird, editor,",,,"pages 107-120,"
284,p. e. utgoff.,an incremental id3.,"in proceedings of the fifth national conference on machine learning,",,,,1988.,,
285,"utgoff, p.e.; id5:",an incremental id3.,"proceedings of the fifth national conference on machine learning,","university of michigan,",,,"june 1988,",,pp 107-120.
286,"p.e. utgoff, id5:",an incremental id3.,"proceedings of the fifth international conference on machine learning,","san mateo, ca:","morgan kaufmann,",,,,107-120.
287,"utgoff, p. e.",machine learning of inductive bias.,,boston ma.,"kluwer academic,",,(1986).,12,
288,"utgoff, p. e.",,"machine learning of inductive bias. hingham,",,ma: kluwer.,,(1986).,,
289,p. utgoff.,,machine learning of inductive bias.,,"kluwer academic,",,1986.,,
290,paul e. utgoff.,,machine learning of inductive bias.,,"kluwer academic publishers,",,1986.,,
291,"p. e. utgoff,",,machine learning of inductive bias.,"boston, ma:","kluwer academic publishers,",,1986.,,
292,p. e. utgoff.,,machine learning of inductive bias.,,"kluwer academic publishers,",,1986.,,
293,"utgoff, p.",,,,kluwer academic.,,(1986).,"vol.15,",28
294,"utgoff, p. e.",,machine learning of inductive bias.,,"kluwer academic publishers,",,1986.,32,
295,p. utgoff.,,machine learning of inductive bias.,"boston, ma,","kluwer academic publishers,",,1986.,,
296,"utgoff, p.",,machine learning of inductive bias.,,kluwer academic.,,(1986).,"vol.15,",6
297,"utgoff, p. e.",,machine learning of inductive bias.,,"kluwer academic publishers,",,1986.,35,
298,"utgoff, p.",,machine learning of inductive bias.,,kluwer academic.,,(1986).,"vol.15,",
299,"paul e. utgoff,",,"""machine learning of inductive bias"",","boston, ma,","kluwer academc publisher,",,1986.,,
300,"utgoff, p. e.,",,machine learning of inductive bias.,"boston ma,","kluwer academic,",,1986.,,
301,"mccallum, r. a.",overcoming incomplete perception with utile distinction memory.,"machine learning: proceedings of the tenth international conference,",,morgan kaufmann.,"in utgoff, p. (ed.),",(1993).,,pages 190-196.
302,r. andrew mccallum.,overcoming incomplete perception with utile distinction memory.,"proceedings of the tenth international conference on machine learning,","san mateo, ca,",morgan kaufmann.,"in paul e. utgoff, editor,",1993.,,"pages 190-196,"
303,r.a. mccallum.,overcoming incomplete perception with utile distinction memory.,"machine learning: proceedings of the tenth international conference,",,"morgan kaufmann,","in p. utgoff, editor,",1993.,,pages 190-196.
304,"fahlman, s. e.,","netl: a system for representing and using real world knowledge,",,,cambridge: mit press.,,,,
305,s. e. fahlman.,netl: a system for representing and using real world knowledge.,,"cambridge ma,","mit press,",,,,
306,"fahlman, s.",netl: a system for representing and using real world knowledge.,,,mit press.,,,,
307,"fahlman, s. e.",netl: a system for representing and using real world knowledge.,,cambridge ma.,"mit press,",,,,
308,"fahlman, s. e.",netl: a system for representing and using real-world knowledge.,,,mit press.,,,,
309,"fahlman, s. e.",netl: a system for representing and using real-world knowledge.,,"cambridge, ma.","the mit press,",,,,
310,"fahlman, s. e.,","netl: a system for representing and using real world knowledge, cam-bridge:",,,mit press.,,,,
311,"fahlman, s.e.",netl: a system for representing and using real-world knowledge.,,"cambridge, ma.","mit press,",,,,
312,scott e. fahlman.,netl: a system for representing and using real-world knowledge.,,"cambridge, ma,","mit press,",,,,
313,s. e. fahlman.,netl : a system for representing and using real-world knowledge.,,"cambridge, mass.,","mit press,",,,,
314,s.e. fahlman.,"netl: a system for representing real-world knowledge,",,,mit press.,,,,
315,scott e. fahlman.,a system for representing and using real-world knowledge.,,"cambridge, ma,","mit press,",,,,
316,"s. fahlman,",netl: a system for representing and using real-world knowledge.,,"cambridge, massachusetts,","the mit press,",,,,
317,scott e. fahlman.,netl: a system for representing real world knowledge.,,,"mit press,",,,,
318,s. fahlman.,netl: a system for representing and using real-world knowledge.,,"cambridge, mas-sachusetts,","the mit press,",,,,
319,scott e fahlman.,"netl, a system for representing and using real-world knowledge.",,,"the mit press,",,,,
320,"fahlman, s.e.,","""netl: a system for representing and using real world knowledge"",",,"cambridge, ma,","mit press,",,,,
321,s. fahlman.,netl: a system for representing and using real-world knowledge.,,"massachusetts,","mit press,",,,,
322,s. e. fahlman.,netl: a system for representing and using real-world knowledge.,,"cambridge, ma,","mit press,",,,,
323,s.e. fahlman.,netl: a system for representing and using real-world knowledge.,,"cambridge, ma, u.s.a.,","mit press,",,,,
324,"s. fahlman,","netl: a system for representing and using real world knowledge,",,"cambridge, ma,","mit press,",,,,
325,scott e. fahlman.,netl: a system for representing and using real-world knowledge.,,,"mit press,",,,,
326,michael pazzani and dennis kibler.,the role of prior knowledge in inductive learning.,"machine learning,",,,,1992.,9,"57-94,"
327,micheal pazzani and dennis kibler.,the utility of knowledge in inductive learning.,"machine learning,",,,,1992.,9,"57-94,"
328,"ragavan, h., & rendell, l.",lookahead feature construction for learning hard concepts.,"machine learning. proceedings of the tenth international conference,","university of massachusetts, amherst, ma.",morgan kaufmann publishers inc.,"in utgoff, p. e. (ed.), mlc-93:",(1993).,,pp. 252-259
329,harish ragavan and larry rendell.,lookahead feature construction for learning hard concepts.,"in ml-93 ,",,,editor: paul e. utgoff.,,,pages 252-259.
330,"weiss, y., edelman, s., and fahle, m.",models of perceptual learning in vernier hyperacuity.,"neural computation,",,,,,5,695-718. 9
331,"weiss, y., edelman, s., and fahle, m.",models of perceptual learning in vernier hyperacuity.,"neural computation,",,,,,5,695-718.
332,"musick, r., catlett, j., & russell, s.",decision theoretic subsampling for induction on large databases.,"proceedings of the tenth international conference on machine learning,","san francisco, ca.",morgan kaufmann.,"in utgoff,  p. e. (ed.),",(1992).,,pp. 212-219
333,"r. musick, jason catlett, and s. russell.",decision theoretic subsampling for induction on large databases.,"in ml-93 ,",,,editor: paul e. utgoff.,,,pages 212-219.
334,c. cardie.,using decision trees to improve case-based learning.,"proceedings of the tenth international conference on machine learning,","university of massachusetts, amherst, ma,",morgan kaufmann.,"in p. utgoff, editor,",1993.,,"pages 25-32,"
335,"cardie, c.",using decision trees to improve case-based learning.,"proceedings, tenth international conference on machine learning.","university of mas-sachusetts, amherst, ma.",,"in p. utgoff (ed.),",1993.,,
336,"cardie, c.",using decision trees to improve case-based learning.,"proceedings of the tenth international conference on machine learning,","university of massachusetts, amherst, ma,",morgan kaufmann.,"in utgoff, p., editor,",1993.,,"pages 25-32,"
337,d. kibler and p. morris.,don't be stupid.,"in proceedings of ijcai-81,",,,,1981.,,
338,d. kibler and p. morris.,don't be stupid.,"in proceedings of the seventh international joint conference on artificial intelligence,",,,,1981.,,"pages 345-347,"
339,"fahle, m.","specificity of learning curvature, orientation, and vernier discriminations.","vision research,",,,,,"37(14),",1885-1895. 66
340,"fahle, m.","specificity of learning curvature, orientation, and vernier discriminations.","vision research,",,,,,"37(14),",1885-1895.
341,d. kibler.,natural generation of heuristics by transforming the problem representation.,,"computer science department, uc-irvine,",,,1985.,,
342,dennis kibler.,natural generation of heuristics by transforming the problem representation.,,"department of computer science, university of california at irvine,",,,1985.,,
343,"kibler, d.",natural generation of heuristics by transforming the the problem representation.,,"university of california, irvine, ca,",,,1985.,,
344,"d. kibler, d.w. aha, and m.k. albert:","instance-based prediction of real-valued attributes,","computational intelligence,",,,,1989.,"5,","51-57,"
345,"kibler, d., aha, d.w., and m.k., albert,","instance-based prediction of real-valued attributes,","computational intelligence,",,,,1989.,"5,","pp. 51-57,"
346,"kibler, d. aha, d. w. & albert, m.",instance-based prediction of real-valued attributes.,"computational intelligence,",,,,(1989).,"5,",51-57
347,"kibler, d. and aha, d. w.",instance-based prediction of real-valued attributes.,"computational intelligence,",,,,(1989).,5(2),51-57.
348,"kibler, d., aha, d. w., and albert, m.",instance-based prediction of real-valued attributes.,"computational intelligence,",,,,(1989).,5,51-57.
349,"kibler, d., aha, d.w., & albert, m.k.","instance-based prediction of real-valued attributes,","computational intelligence,",,,,(1989),5,51-57.
350,"d. kibler, d. w. aha, and m. k. albert.",instance-based prediction of real-valued attributes.,"computational intelligence,",,,,1989.,5,"51-57,"
351,d. kibler and d. w. aha.,instance-based prediction of real-valued attributes.,"computational intelligence,",,,,1989.,5(2),"51-57,"
352,d. kibler and p. langley.,machine learning as an experimental science.,"in proceedings of 1988 european working session on learning,",,,,1988.,,"pages 81-92,"
353,d. kibler and p. langley.,machine learning as an experimental science.,"in proc. of 1988 euro. working session on learning,",,,,1988.,,"pages 8192,"
354,"kibler d. & langley, p.",machine learning as an experimental science.,"in proc. of the third european working session on learning,","glasgow, uk.",,,1988.,,"81-92,"
355,"kibler d. & langley, p.",machine learning as an experimental science.,"in proceedings of the third european working session on learning,","glas-gow, uk.",,,1988.,,"81-92,"
356,"kibler, d. & langley, p.","machine learning as an experimental science,","in ""proceedings of the third european working session on learning"",",,"pitman publishing, london, uk,",,"(1988),",,pp. 81-92.
357,"kibler, d. & langley, p.",machine learning as an experimental science.,proceedings of the third european working session on learning.,"glasgow, scotland:",pitman.,,(1988).,,
358,"kibler, d. & langley, p.",machine learning as an experimental science.,proceedings of the third european session on machine learning.,"london, uk:",pitman.,,(1988).,,
359,"kibler, d. & langley, p.",machine learning as an experimental science.,"in proceedings of the third european working session on learning,","glasgow, scotland.",pitman.,,(1988).,,
360,"kibler, d. & langley, p.",machine learning as an experimental science.,"in proceedings of the third european working session on learning,","edinburgh, uk.",,,(1988).,,"(pp. 1-12),"
361,"kibler, d. & langley p.",machine learning as an experimental science.,machine learning 3 (1).,,,,(1988).,,
362,"kibler, d., & langley, p.",machine learning as an experimental science.,proceedings of the third european session on l e a r n i n g,"glasgo, scotland:",pitman.,"in d. sleeman (ed.),",(1988).,,(pp. 81-91
363,"kibler, d., & langley, p.",machine learning as an experimental science.,in proceedings of the third european working session on learning,"glasgow, scotland:",pitman.,,(1988).,,(pp. 81-92).
364,"kibler, d., & langley, p.",machine learning as an experimental science.,proceedings of the third eu-ropean working session on learning,glasgow:,pittman.,,(1988).,,(pp. 81-92).
365,"kibler, d., & langley, p.",machine learning as an experimental science.,proceedings of the third euro-pean working session on learning,glas-gow: pittman.,,,(1988).,,(pp. 81-92).
366,"kibler, d., & langley, p.",machine learning as an experimental science.,proceedings of the third european working session on learning,glasgow: pittman.,,,(1988).,,(pp. 81-92).
367,"kibler, d., & langley, p.",machine learning as an experimental science.,proceedings of the third european working session on learning,glasgow: /ad pittman.,,,(1988).,,(pp. 81-92).
368,"d. kibler and p. langley, p.","machine learning as an experimental science, in:","proceedings of the third european working session on learning,","glasgow, uk,",,,(1988),,81-92.
369,dennis kibler and pat langley.,machine learning as an experimental science.,pro ceedings of the third working session on learning,,,,(1989),,
370,d. kibler & p. langley.,machine learning as an experimental science.,proc. 3rd working session on learning (1989),,,,,,
371,d. kibler & p. langley.,machine learning as an experimental science.,proc. 3rd working session on learning,,,,(1989),,
372,dennis kibler and pat langley.,machine learning as an experimental science.,in proceedings of the third european working session on learning.,"san mateo, ca.,","pitman publishing ltd., london and morgan kaufman publishing,",,1988.,,
373,pat langley and dennis kibler.,the experimental study of machine learning.,,,,,1991.,,
374,"kibler, d. and langley, p.,",machine learning as an experimental science.,,"glasgow, uk.","turing institute, pitman.","editor,in sleeman, d.,",october 1988.,,"pages 81-92,"
375,"kibler, d., and langley, p.",machine learning as an experimental science.,"machine learning,",,,,(1988).,"3(1),",5-8.
376,"kibler d., langley p.:","machine learning as an experimental science,","machine learning,",,,,1988.,"3(1),","5-8,"
377,"kibler, d. and langley, p.",machine learning as an experimental science.,"in proceedings of the third european working session on learning,","glasgow, scotland,","pitman,",,1988.,,
378,"lennart e. fahlen, charles grant brown, olov stahl, and christer carlsson.",a space based model for user interaction in shared synthetic environments.,"in proceedings of interchi '93,",,,,,,"pages 4348,"
379,"lennart e. fahlen, charles grant brown, olov stahl, and christer carlsson.",a space based model for user interaction in shared synthetic environments.,"in proceedings of interchi '93,",,,,,,"pages 43-48,"
380,"fahle, m., edelman, s., and poggio, t.",fast perceptual learning in hyperacuity.,"vision research,",,,,,35,3003-3013.
381,"fahle, m., edelman, s., & poggio, t.",fast perceptual learning in hyperacuity.,"vision research,",,,,,"35,",3003-3013.
382,"benford, s., bowers, j., fahln, l., greenhalgh, c., and snowdon, d.,","user embodiment in collaborative virtual environments,","in proc. acm conference on human factors in computing systems (chi95),","denver, colorado, usa.",,,,,
383,"benford, s., bowers, j., fahlen, l.e., greenhalgh, c., snowdon, d.",user embodiment in collaborative virtual environments.,"in proceedings of chi95,",,,,,,242-249.
384,"benford, s., bowers, j., fahlen, l.e., greenhalgh, c., snowdon, d.",user embodiment in collaborative virtual environments.,"in proceedings of chi95,",,,,,242 249.,
385,"aha, d. w., d. kibler, & albert m. k.",instance-based learning algorithms.,machine learning,,,,(1991).,"6 (1),",37-66.
386,"aha, d. w., kibler, d., & albert, m.",`instance-based learning algorithms'.,"machine learning,",,,,(1991).,"7,",37-66.
387,"jordan, m. i. & jacobs, r. a.","supervised learning and divide-and-conquer: a statistical approach,","""proceedings of the tenth international conference on machine learning"",",,morgan kaufmann.,"in p. utgoff, ed.,","(1993),",,
388,m. jordan and r. jacobs.,supervised learning and divide-and-conquer: a statistical approach.,"proceedings of the tenth international conference on machine learning,",,"morgan kaufmann,","in p. utgoff, editor,",1993.,,pages 159-166.
389,"kibler, d. and aha, d.",comparing instance-averaging with instance-filtering learning algorithms.,"in proceedings of the 3rd european working session on learning, ewsl88,",,,,(1988).,,pp. 63-88.
390,"kibler, d., & aha, d. w.",comparing instance-averaging with instance-filtering learning algorithms.,in proceedings of the third european working session on learning,"glasgow, scotland:",pitman.,,(1988).,,(pp. 63-80).
391,d. kibler and d. aha.,comparing instance-averaging with instance-filtering learn ing algorithms.,"in proceedings of the third european working session on learning,",,,,1988.,,"pages 68-80,"
392,d. kibler and d. aha.,comparing instance-saving with instance-averaging learn ing algorithms.,change of representation and inductive bias.,"ma,","kluwer academic publisher, norwell,","in d.p.benjamin, editor,",1989.,,
393,"d. kibler and d. w. aha,","comparing instance averaging and instance filtering learning algorithms,","proceedings of 3rd european working session on learning,",,"pitman,",,1988,,
394,"fahlman, s. & hinton, g.",connectionist architectures for artificial intelligence.,"computer,",,,,,"20,",100-109.
395,scott e fahlman and geoffrey e hinton.,connectionist architectures for artificial intelligence.,"computer,",,,,,"20(1),",
396,"fahlman, s. and hinton, g.",connectionist architectures for artificial intelligence.,"computer,",,,,,20,100-118.
397,"fahln, l.e.; c.g.brown; o.stahl; c.carlsson.",a space based model for user interaction in shared synthetic environments.,in proceedings of interchi93 (amsterdam).,,"acm, ny:",,,,43-48.
398,"fahln, l.e.; c.g.brown; o.stahl; c.carlsson.",a space based model for user interaction in shared synthetic environments.,in proceedings of the interchi93 conference (amsterdam).,,"acm, ny:",,,,43-48.
399,r. caruana.,multitask learning: a knowledge-based of source of inductive bias.,"proceedings of the tenth international conference on machine learning,","san mateo, ca,",morgan kaufmann.,"in paul e. utgoff, editor,",1993.,,"pages 41-48,"
400,richard caruana.,multitask learning: a knowledge-based of source of inductive bias.,"proceedings of the tenth international conference on machine learning,","san mateo, ca,",morgan kaufmann.,"in paul e. utgoff, editor,",1993.,,"pages 41-48,"
401,richard caruana.,multitask learning: a knowledge-based of source of inductive bias.,"proceedings of the tenth international conference on machine learning,","san mateo, ca,",morgan kaufmann.,"in paul e. utgoff, editor,",1993.,18,"pages 41-48,"
402,r. caruana.,multitask learning: a knowledge-based of source of inductive bias.,"proceedings of the tenth international conference on machine learning,","san mateo, ca,",morgan kaufmann.,"in p. e. utgoff, editor,",1993.,,"pages 41-48,"
403,"caruana, r.",multitask learning: a knowledge-based of source of inductive bias.,"in: proceedings of the tenth international conference on machine learning,","san mateo, ca,","morgan kaufmann,",p. e. utgoff.,"1993,",,pp. 41-48.
404,"caruana, r.",multitask learning: a knowledge-based of source of inductive bias.,"in:proceedings of the tenth international conference on machine learning,","san mateo, ca,","morgan kaufmann,",edited by p.  e. utgoff.,"1993,",,pp. 41-48.
405,"connell, m. e. and utgoff, p. e.",learning to control a dynamic physical system.,"in sixth national conference on artificial intelligence,","san mateo, ca.","morgan kaufmann,",,(1987).,,"pages 456-460,"
406,"connell, m. e., & utgoff, p. e.",learning to control a dynamic physical system.,in proceedings of the sixth national conference on artificial intelligence,"seattle, wa:",morgan kaufmann.,,(1987).,,(pp. 456-460).
407,m. connell and p. utgoff.,"learning to control a dynamic physical system,","in proceedings aaai-87,","seattle,","american association for arti-ficial intelligence,",,1987.,"vol. 2,",456-460.
408,m. connell and p. utgoff.,"learning to control a dynamic physical system,","in proceedings aaai-87,","seattle,","american association for artificial intelligence,",,1987.,"vol. 2,",456-460.
409,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representa-tions.,"connection science,",,,,(1989).,"1,",377-391.
410,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representations.,"connection science,",,,,(1989).,"1 (4),",377-391.
411,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representations.,"connection science,",,,,(1989).,"1,",377-391.
412,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representations.,"connection science,",,,,(1989b).,"1,",377-391.
413,"utgoff, p.e.","perceptron trees: a case study in hybrid concept representations,","connection science,",,,,"(1989),","1,",pp. 337-391.
414,"utgoff, p., e.,",perceptron trees: a case study in hybrid concept representations.,"connection science,",,,,(1989),volume 1.,
415,paul e. utgoff.,perceptron trees: a case study in hybrid concept representations.,"connection science,",,,,1989.,1(4),"377-391,"
416,p. e. utgoff.,perceptron trees: a case study in hybrid concept representations.,"connection science,",,,,1989.,1(4),"377-391,"
417,"utgoff, p.",perceptron trees: a case study in hybrid concept representation.,connection science. 16 set curves set curves 17 set curves set curves 18 set curves set curves 19,,,,(1989).,,
418,"utgoff, p.",perceptron trees: a case study in hybrid concept representation.,connection science. set curves set curves set curves set curves curves curves,,,,(1989).,,
419,"j.s. conery, d.f. kibler,","parallel interpretation of logic programs,","in proceedings acm symposium on functional programming and computer architecture,",,,,1981.,,
420,"j. s. conery, d. f. kibler,","parallel interpretation of logic programs,","proc. acm symp. functional programming and computer architecture,",,,,f14g 1981.,,
421,"j. s. conery, d. f. kibler,","parallel interpretation of logic programs,","proc. acm symp. functional programming and computer architecture,",,,,1981.,,
422,"utgoff, p. & clouse, j.",two kinds of training information for evaluation function learning.,"in proceedings of the ninth national conference on artificial intelligence,","anaheim, ca.",,,(1991).,,"(pp. 596-600),"
423,"utgoff, p. e. & clouse, j. a.",two kinds of training information for evaluation function learning.,"in proceedings of the ninth annual conference on artificial intelligence,","san mateo, ca.",morgan kaufmann.,,(1991).,,"pages 596-600,"
424,"utgoff, p. e., & clouse, j. a.",two kinds of training information for evaluation function learning.,proceedings of the ninth national conference on artificial intelligence,"anaheim, ca:",mit press.,,(1991).,,(pp. 596-600).
425,"utgoff, p., & clouse, j.",two kinds of training information for evaluation function learning.,"in proceedings of the ninth national conference on artificial intelligence,","anaheim, ca.",,,(1991).,,596-600
426,"utgoff, p., and clouse.",two kinds of training information for evaluation function learning.,"in proceedings of ninth national conference on artificial intelligence,",anaheim:,aaai press/mit press.,,1991.,,596-600.
427,p. e. utgoff and j. a. clouse.,two kinds of training information for evaluation function learning.,"in proceedings of the ninth national conference on artificial intelligence,",,,,1991.,,"pages 596-600,"
428,p. utgoff and j. clouse.,two kinds of training information for evaluation function learning.,"in proceedings of aaai,",,,,1991.,,
429,p.e. utgoff and j.a. clouse.,two kinds of training information for evaluation function learning.,"in proceedings of the ninth annual conference on artificial intelligence,","san mateo, ca,",morgan kaufmann.,,,,"pages 596-600,"
430,p. utgoff and j. clouse.,two kinds of training information for evaluation function learning.,in proceeding of the ninth national conference on artificial intelligence (aaai-91).,,"aaai press,",,1991.,,
431,"utgoff, p.",and clouse (1991). two kinds of training information for evaluation function learning.,"in proceedings of ninth national conference on artificial intelligence,",anaheim.,aaai press/mit press.,,,,"pages 596-600,"
432,"utgoff, p. e.",shift of bias for inductive concept learning.,,"department of computer science, rutgers university, new brunswick, nj.",,,(1984).,,
433,paul utgoff.,shift of bias for inductive concept learning.,,"rutgers university,",,,1984.,,
434,p. e. utgoff.,shift of bias for inductive concept learning.,,"rutgers, laboratory for computer science research,",,,oct. 1984.,,
435,p. utgoff.,shift of bias for inductive concept learning.,,"rutgers, laboratory for computer science research,",,,octo-ber 1984.,,
436,"pazzani m, kibler d.",the utility of knowledge in inductive learning.,machine learning,,,,1992,;9,:57-94.
437,"pazzani m., kibler d.:","the utility of knowledge in inductive learning,","in machine learning,",,,,1992.,"9,","57-94,"
